Rk,G,Date,Age,Tm,HOME,OPP,TOV,DRB,ORB,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PF,PTS,GmSc,+/-,WIN
47,32,2022-01-23,22-329,DAL,0,MEM,5,9,2,1,37:59,13,25,0.52,2,7,0.286,9,12,0.75,11,9,3,1,2,37,31.8,15,1
48,33,2022-01-25,22-331,DAL,1,GSW,2,7,1,1,26:46,7,17,0.412,4,7,0.571,7,7,1.0,8,3,0,0,3,25,17.6,-19,0
49,34,2022-01-26,22-332,DAL,1,POR,3,10,0,1,37:19,4,11,0.364,2,6,0.333,5,8,0.625,10,15,1,0,1,15,18.8,11,1
50,35,2022-01-29,22-335,DAL,0,IND,1,5,1,1,31:45,12,21,0.571,4,9,0.444,2,7,0.286,6,12,1,2,0,30,30.1,34,1
51,36,2022-01-30,22-336,DAL,1,ORL,6,12,0,1,37:34,13,22,0.591,4,9,0.444,4,6,0.667,12,11,1,0,3,34,28.1,11,0
52,37,2022-02-02,22-339,DAL,0,OKC,3,5,1,1,42:48,16,33,0.485,5,13,0.385,3,4,0.75,6,10,3,0,3,40,30.9,-17,0
53,38,2022-02-04,22-341,DAL,0,PHI,3,10,3,1,40:26,13,28,0.464,1,6,0.167,6,9,0.667,13,15,2,0,1,33,31.6,19,1
54,39,2022-02-06,22-343,DAL,0,ATL,1,7,3,1,27:42,6,17,0.353,1,3,0.333,5,6,0.833,10,11,1,0,5,18,18.0,10,1
55,40,2022-02-08,22-345,DAL,0,DET,5,7,0,1,32:52,9,18,0.5,5,9,0.556,10,14,0.714,7,11,1,2,3,33,28.4,35,1
56,41,2022-02-10,22-347,DAL,0,LAC,7,9,0,1,39:48,17,26,0.654,7,14,0.5,10,14,0.714,9,6,1,1,4,51,38.0,9,1
57,42,2022-02-12,22-349,DAL,0,LAC,7,15,0,1,39:27,15,33,0.455,6,13,0.462,9,13,0.692,15,8,0,0,2,45,28.6,8,0
58,43,2022-02-15,22-352,DAL,1,MIA,3,9,1,1,38:07,5,19,0.263,2,7,0.286,9,12,0.75,10,6,0,1,3,21,12.6,3,1
59,44,2022-02-17,22-354,DAL,1,NOP,5,14,1,1,38:02,17,35,0.486,7,14,0.5,8,12,0.667,15,8,0,1,3,49,34.7,21,1
60,45,2022-02-25,22-362,DAL,1,UTA,4,5,2,1,35:08,8,24,0.333,3,9,0.333,4,4,1.0,7,11,1,0,5,23,15.0,-16,0
61,46,2022-02-27,22-364,DAL,1,GSW,9,10,1,1,36:36,10,21,0.476,3,9,0.333,11,12,0.917,11,2,2,1,2,34,20.9,-5,1
62,47,2022-03-01,23-001,DAL,1,LAL,6,7,1,1,37:47,9,21,0.429,0,5,0.0,7,11,0.636,8,5,1,2,1,25,14.6,-4,1
63,48,2022-03-03,23-003,DAL,0,GSW,6,8,2,1,40:24,15,26,0.577,4,10,0.4,7,9,0.778,10,9,2,0,1,41,33.7,8,1
65,49,2022-03-07,23-007,DAL,0,UTA,3,15,1,1,37:44,12,23,0.522,5,11,0.455,6,7,0.857,16,7,3,1,3,35,32.9,5,1
