Rk,G,Date,Age,Tm,HOME,OPP,TOV,DRB,R,ORB,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PF,PTS,GmSc,+/-
66,58,2024-03-13,25-014,DAL,,GSW,6,2,W (+10),1,1,29:35,7,18,.389,1,6,.167,6,8,.750,3,9,0,0,0,21,12.0,+14
68,59,2024-03-17,25-018,DAL,,DEN,3,6,W (+2),4,1,40:08,12,27,.444,5,11,.455,8,10,.800,10,3,2,0,3,37,26.6,-1
69,60,2024-03-19,25-020,DAL,@,SAS,4,10,W (+6),0,1,40:26,6,27,.222,2,12,.167,4,5,.800,10,16,1,0,0,18,12.3,+5
70,61,2024-03-21,25-022,DAL,,UTA,4,8,W (+16),1,1,34:40,11,23,.478,4,10,.400,8,12,.667,9,8,4,0,2,34,28.6,-3
71,62,2024-03-25,25-026,DAL,@,UTA,4,10,W (+10),2,1,41:11,10,24,.417,2,11,.182,7,8,.875,12,13,1,1,3,29,25.8,+10
72,63,2024-03-26,25-027,DAL,@,SAC,4,10,W (+36),1,1,31:41,10,18,.556,4,8,.500,4,5,.800,11,6,2,0,4,28,23.3,+18
73,64,2024-03-29,25-030,DAL,@,SAC,5,9,W (+4),0,1,40:52,6,14,.429,4,8,.500,10,14,.714,9,12,2,0,2,26,24.3,+6
74,65,2024-03-31,25-032,DAL,@,HOU,4,12,W (+18),0,1,35:12,18,30,.600,9,16,.563,2,5,.400,12,7,2,0,1,47,38.1,+12
75,66,2024-04-02,25-034,DAL,@,GSW,5,11,L (-4),1,1,39:12,11,22,.500,5,11,.455,3,4,.750,12,11,0,0,1,30,24.9,+9
76,67,2024-04-04,25-036,DAL,,ATL,5,12,W (+14),0,1,37:02,8,25,.320,6,15,.400,3,3,1.000,12,8,2,1,3,25,16.4,+21
78,68,2024-04-07,25-039,DAL,,HOU,7,7,W (+11),2,1,45:25,12,21,.571,4,10,.400,9,9,1.000,9,12,0,2,5,37,31.4,+20
79,69,2024-04-09,25-041,DAL,@,CHO,4,10,W (+26),2,1,34:45,13,25,.520,8,17,.471,5,7,.714,12,10,0,1,2,39,33.2,+22
80,70,2024-04-10,25-042,DAL,@,MIA,3,8,W (+19),1,1,35:59,9,23,.391,4,15,.267,7,8,.875,9,9,0,0,4,29,20.9,+7
