3P,3P%,TRB,AST,PTS,GmSc,WIN
1,0.125,7,10,18,13.0,1
6,0.545,10,8,34,21.9,0
1,0.111,12,9,23,18.3,1
5,0.5,3,6,29,21.0,1
2,0.2,7,8,31,23.2,0
6,0.667,6,6,44,41.7,1
4,0.444,4,9,30,27.9,1
3,0.6,2,2,16,0.4,0
4,0.364,7,10,26,20.3,1
4,0.444,9,9,35,27.6,0
3,0.429,10,7,25,23.0,0
3,0.25,12,8,30,25.8,1
1,0.125,3,4,30,17.4,0
3,0.3,9,9,41,36.1,1
5,0.385,15,18,36,36.5,0
6,0.5,10,11,40,35.0,1
3,0.214,6,10,32,21.5,1
